Timestamp,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,Annotation
2023-11-15 09:14:59,7.54,3.6,0.15,0.055,0.022,0.028,0.02,0.018,0.034,0.013,0.011,0.035,0.037,0.057,0.165,3.01,0
2023-11-15 09:15:59,7.99,3.22,0.15,0.059,0.013,0.033,0.034,0.034,0.017,0.027,0.025,0.016,0.03,0.064,0.246,3.95,0
2023-11-15 09:16:59,7.9,3.85,0.16,0.055,0.023,0.014,0.032,0.028,0.011,0.031,0.038,0.011,0.029,0.055,0.206,3.92,0
2023-11-15 09:17:59,8.37,3.46,0.17,0.064,0.033,0.032,0.016,0.028,0.011,0.03,0.023,0.023,0.036,0.05,0.204,3.91,0
2023-11-15 09:18:59,11.77,7.4,1.3,0.92,1.8,0.82,0.86,0.83,0.9,0.88,0.83,0.81,1.89,0.8,1.22,7.15,1
2023-11-15 09:19:59,7.85,3.62,0.17,0.06,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.06,0.17,3.62,0
2023-11-15 09:20:59,7.85,3.62,0.17,0.06,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.06,0.17,3.62,0
2023-11-15 09:21:59,7.85,3.62,0.17,0.06,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.06,0.17,3.62,0
2023-11-15 09:22:59,7.6,3.2,0.17,0.054,0.022,0.012,0.037,0.026,0.034,0.03,0.016,0.014,0.024,0.053,0.124,3.92,0
2023-11-15 09:23:59,7.61,3.41,0.15,0.056,0.011,0.023,0.027,0.027,0.038,0.035,0.022,0.021,0.016,0.054,0.206,3.22,0
2023-11-15 09:24:59,7.99,3.06,0.17,0.061,0.025,0.027,0.034,0.024,0.02,0.03,0.028,0.037,0.015,0.054,0.244,3.36,0
2023-11-15 09:25:59,8.18,3.43,0.17,0.065,0.02,0.038,0.021,0.036,0.025,0.012,0.022,0.037,0.022,0.064,0.178,3.25,0
2023-11-15 09:26:59,7.62,3.12,0.18,0.05,0.032,0.034,0.028,0.033,0.03,0.029,0.034,0.021,0.023,0.058,0.143,3.58,0
2023-11-15 09:27:59,7.89,3.04,0.15,0.063,0.035,0.023,0.018,0.018,0.033,0.017,0.012,0.03,0.029,0.057,0.176,3.35,0
2023-11-15 09:28:59,7.86,3.57,0.17,0.05,0.032,0.018,0.028,0.037,0.038,0.013,0.024,0.028,0.021,0.052,0.163,3.34,0
2023-11-15 09:29:59,8.43,3.57,0.17,0.061,0.031,0.011,0.016,0.015,0.023,0.011,0.038,0.023,0.023,0.054,0.215,3.24,0
2023-11-15 09:30:59,8.19,3.34,0.17,0.052,0.035,0.023,0.034,0.011,0.036,0.013,0.033,0.032,0.016,0.052,0.27,3.78,0
2023-11-15 09:31:59,7.5,3.61,0.15,0.065,0.022,0.035,0.015,0.012,0.021,0.012,0.024,0.012,0.019,0.052,0.23,3.96,0
2023-11-15 09:32:59,8.5,3.46,0.15,0.053,0.015,0.015,0.027,0.019,0.014,0.018,0.031,0.036,0.024,0.063,0.182,3.89,0
2023-11-15 09:33:59,8.13,3.19,0.15,0.055,0.016,0.027,0.033,0.031,0.014,0.019,0.037,0.038,0.038,0.053,0.271,3.31,0
2023-11-15 09:34:59,8.2,4,0.16,0.052,0.024,0.022,0.018,0.017,0.02,0.023,0.021,0.027,0.02,0.062,0.236,3.45,0
2023-11-15 09:35:59,7.96,3.09,0.16,0.054,0.024,0.032,0.011,0.016,0.022,0.033,0.011,0.011,0.025,0.054,0.17,3.26,0
2023-11-15 09:36:59,7.99,3.02,0.17,0.065,0.025,0.027,0.023,0.018,0.036,0.013,0.037,0.028,0.019,0.053,0.178,3.09,0
2023-11-15 09:37:59,8.25,3.81,0.16,0.056,0.029,0.024,0.035,0.021,0.022,0.026,0.03,0.032,0.023,0.055,0.185,3.1,0
2023-11-15 09:38:59,7.65,3.75,0.17,0.064,0.027,0.021,0.021,0.025,0.011,0.02,0.033,0.03,0.03,0.064,0.239,3.63,0
2023-11-15 09:39:59,8.27,3.98,0.17,0.05,0.011,0.025,0.025,0.013,0.017,0.025,0.032,0.021,0.034,0.055,0.268,3.12,0
2023-11-15 09:40:59,7.85,3.62,0.17,0.06,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.06,0.17,3.62,0
2023-11-15 09:41:59,7.51,3.59,0.16,0.051,0.015,0.036,0.016,0.033,0.014,0.026,0.013,0.037,0.014,0.06,0.183,3.28,0
2023-11-15 09:42:59,8.07,3.88,0.17,0.053,0.028,0.017,0.033,0.037,0.023,0.015,0.033,0.03,0.031,0.057,0.123,3.01,0
2023-11-15 09:43:59,7.9,3.38,0.16,0.052,0.022,0.034,0.035,0.014,0.036,0.012,0.031,0.031,0.035,0.057,0.195,3.2,0
2023-11-15 09:44:59,8.39,3.27,0.15,0.065,0.031,0.015,0.014,0.025,0.032,0.038,0.014,0.035,0.02,0.051,0.166,3.32,0
2023-11-15 09:45:59,8.42,3.64,0.18,0.063,0.017,0.019,0.028,0.024,0.013,0.034,0.017,0.02,0.015,0.057,0.127,3.1,0
2023-11-15 09:46:59,7.85,3.6,0.16,0.057,0.011,0.027,0.017,0.031,0.032,0.035,0.034,0.01,0.037,0.055,0.125,3.48,0
2023-11-15 09:47:59,8.49,3.79,0.17,0.064,0.032,0.018,0.021,0.012,0.035,0.019,0.026,0.015,0.02,0.055,0.214,3.66,0
2023-11-15 09:48:59,8.42,3.58,0.16,0.064,0.021,0.028,0.028,0.012,0.035,0.037,0.022,0.01,0.038,0.06,0.27,3.8,0
2023-11-15 09:49:59,8.21,3.7,0.18,0.059,0.025,0.035,0.036,0.016,0.013,0.036,0.028,0.038,0.015,0.056,0.133,3.5,0
2023-11-15 09:50:59,8.39,3.38,0.18,0.062,0.031,0.028,0.021,0.019,0.029,0.021,0.017,0.024,0.01,0.053,0.169,3.56,0
2023-11-15 09:51:59,8.07,3.74,0.18,0.056,0.031,0.03,0.01,0.01,0.014,0.037,0.013,0.03,0.013,0.05,0.152,3.5,0
2023-11-15 09:52:59,8.07,3.81,0.17,0.057,0.032,0.022,0.028,0.018,0.018,0.02,0.019,0.015,0.019,0.062,0.156,3.11,0
2023-11-15 09:53:59,8.12,3.81,0.18,0.053,0.012,0.021,0.024,0.012,0.024,0.037,0.02,0.011,0.034,0.055,0.14,3.59,0
2023-11-15 09:54:59,7.53,3.91,0.16,0.05,0.016,0.027,0.028,0.027,0.034,0.021,0.034,0.031,0.025,0.059,0.253,3.9,0
2023-11-15 09:55:59,7.6,3.47,0.15,0.051,0.015,0.03,0.012,0.036,0.028,0.035,0.012,0.016,0.027,0.059,0.244,3.01,0
2023-11-15 09:56:59,7.52,3.94,0.15,0.06,0.024,0.021,0.01,0.023,0.023,0.035,0.02,0.038,0.03,0.058,0.279,3.94,0
2023-11-15 09:57:59,8.2,3.09,0.15,0.065,0.029,0.012,0.034,0.01,0.03,0.013,0.021,0.02,0.015,0.051,0.165,3.2,0
2023-11-15 09:58:59,7.93,3.91,0.15,0.062,0.013,0.016,0.035,0.022,0.02,0.026,0.024,0.021,0.032,0.053,0.121,3.97,0
2023-11-15 09:59:59,8.22,3.74,0.16,0.051,0.035,0.018,0.024,0.026,0.012,0.036,0.022,0.03,0.016,0.055,0.183,3.83,0
2023-11-15 10:00:59,7.68,3.83,0.16,0.058,0.025,0.038,0.036,0.019,0.016,0.025,0.015,0.022,0.026,0.051,0.128,3.31,0
2023-11-15 10:01:59,8.11,3.58,0.17,0.054,0.018,0.021,0.036,0.028,0.011,0.014,0.028,0.038,0.03,0.064,0.24,3.11,0
2023-11-15 10:02:59,8.46,3.41,0.18,0.063,0.012,0.019,0.028,0.027,0.019,0.036,0.027,0.034,0.012,0.059,0.125,3.32,0
2023-11-15 10:03:59,7.72,3.74,0.17,0.055,0.034,0.018,0.018,0.028,0.023,0.027,0.018,0.028,0.023,0.056,0.224,3.94,0
2023-11-15 10:04:59,8.03,3.84,0.17,0.053,0.035,0.031,0.02,0.013,0.036,0.017,0.031,0.018,0.024,0.05,0.198,3.09,0
2023-11-15 10:05:59,7.89,3.1,0.17,0.064,0.036,0.01,0.035,0.033,0.03,0.034,0.031,0.037,0.026,0.05,0.155,3.45,0
2023-11-15 10:06:59,7.55,3.84,0.17,0.056,0.013,0.01,0.034,0.038,0.029,0.033,0.038,0.035,0.011,0.056,0.242,3,0
2023-11-15 10:07:59,7.64,3.32,0.17,0.058,0.024,0.021,0.011,0.023,0.01,0.026,0.011,0.018,0.016,0.052,0.255,3.88,0
2023-11-15 10:08:59,8.39,3.16,0.16,0.058,0.027,0.01,0.022,0.016,0.01,0.013,0.017,0.036,0.011,0.056,0.177,3.72,0
2023-11-15 10:09:59,7.75,3.9,0.16,0.055,0.026,0.021,0.02,0.012,0.036,0.011,0.03,0.028,0.024,0.053,0.188,3.72,0
2023-11-15 10:10:59,7.57,3.24,0.17,0.064,0.038,0.032,0.02,0.031,0.026,0.036,0.018,0.022,0.02,0.058,0.232,3.7,0
2023-11-15 10:11:59,7.56,3.59,0.15,0.064,0.019,0.029,0.026,0.014,0.018,0.019,0.033,0.031,0.021,0.062,0.143,3.36,0
2023-11-15 10:12:59,7.89,3.84,0.15,0.051,0.014,0.023,0.033,0.014,0.023,0.027,0.024,0.013,0.021,0.064,0.155,3.84,0
2023-11-15 10:13:59,7.63,3.95,0.17,0.058,0.016,0.023,0.019,0.011,0.028,0.028,0.035,0.024,0.012,0.05,0.126,3.95,0
2023-11-15 10:14:59,7.89,3.85,0.17,0.055,0.022,0.011,0.024,0.01,0.012,0.038,0.034,0.029,0.038,0.06,0.158,3.39,0
2023-11-15 10:15:59,8.19,3.67,0.18,0.051,0.037,0.027,0.024,0.023,0.014,0.029,0.025,0.011,0.024,0.052,0.239,3.09,0
2023-11-15 10:16:59,7.91,3,0.15,0.064,0.028,0.018,0.029,0.014,0.034,0.034,0.021,0.027,0.01,0.055,0.203,3.24,0
2023-11-15 10:17:59,8.21,3.94,0.17,0.06,0.018,0.022,0.035,0.02,0.024,0.028,0.035,0.021,0.028,0.054,0.24,3.73,0
2023-11-15 10:18:59,8.17,3.31,0.15,0.05,0.02,0.03,0.027,0.022,0.038,0.019,0.024,0.035,0.033,0.062,0.212,3.59,0
2023-11-15 10:19:59,7.69,3.03,0.18,0.057,0.015,0.03,0.012,0.016,0.023,0.023,0.013,0.011,0.026,0.06,0.124,3.83,0
2023-11-15 10:20:59,8.14,3.44,0.17,0.05,0.032,0.033,0.037,0.029,0.017,0.027,0.022,0.014,0.016,0.056,0.143,3.21,0
2023-11-15 10:21:59,8.24,3.93,0.17,0.063,0.028,0.012,0.012,0.021,0.033,0.013,0.031,0.011,0.024,0.058,0.2,3.24,0
2023-11-15 10:22:59,7.8,3.44,0.16,0.063,0.013,0.026,0.015,0.022,0.022,0.029,0.013,0.038,0.013,0.057,0.125,3.59,0
2023-11-15 10:23:59,8.27,3.94,0.18,0.052,0.023,0.013,0.024,0.016,0.034,0.011,0.038,0.018,0.036,0.065,0.195,3.39,0
2023-11-15 10:24:59,7.81,3.16,0.17,0.058,0.013,0.027,0.02,0.025,0.022,0.018,0.01,0.025,0.031,0.062,0.254,3.72,0
2023-11-15 10:25:59,7.89,3.03,0.15,0.056,0.019,0.018,0.012,0.036,0.016,0.013,0.03,0.012,0.025,0.063,0.234,3.3,0
2023-11-15 10:26:59,7.66,3.96,0.17,0.053,0.029,0.011,0.03,0.016,0.031,0.016,0.012,0.027,0.011,0.051,0.129,3.2,0
2023-11-15 10:27:59,7.78,3.15,0.16,0.05,0.023,0.036,0.022,0.024,0.012,0.027,0.01,0.026,0.038,0.06,0.177,3.22,0
2023-11-15 10:28:59,8.24,3.74,0.18,0.054,0.012,0.036,0.024,0.027,0.014,0.017,0.012,0.014,0.012,0.056,0.12,3.6,0
2023-11-15 10:29:59,7.9,3.1,0.17,0.06,0.021,0.032,0.019,0.03,0.028,0.029,0.03,0.015,0.031,0.059,0.273,3.08,0
2023-11-15 10:30:59,7.92,3.83,0.18,0.061,0.01,0.028,0.023,0.018,0.012,0.035,0.021,0.038,0.026,0.061,0.163,3.62,0
2023-11-15 10:31:59,7.54,3.81,0.18,0.05,0.015,0.034,0.032,0.035,0.012,0.023,0.032,0.027,0.031,0.056,0.154,3.87,0
2023-11-15 10:32:59,8.5,3.19,0.17,0.051,0.023,0.01,0.036,0.019,0.025,0.032,0.036,0.03,0.018,0.051,0.234,3.15,0
2023-11-15 10:33:59,7.55,3.2,0.18,0.064,0.022,0.037,0.012,0.037,0.021,0.015,0.031,0.031,0.024,0.064,0.16,3.14,0
2023-11-15 10:34:59,8.15,3.55,0.15,0.056,0.016,0.019,0.022,0.036,0.013,0.013,0.021,0.012,0.018,0.057,0.161,3.73,0
2023-11-15 10:35:59,8.04,3.58,0.18,0.063,0.029,0.023,0.032,0.013,0.036,0.018,0.038,0.026,0.018,0.062,0.135,3.29,0
2023-11-15 10:36:59,8,3.17,0.15,0.064,0.015,0.012,0.013,0.031,0.019,0.021,0.012,0.036,0.029,0.058,0.211,3.35,0
2023-11-15 10:37:59,7.55,3,0.15,0.052,0.029,0.032,0.015,0.025,0.029,0.033,0.018,0.01,0.017,0.054,0.199,3.1,0
2023-11-15 10:38:59,8.16,3,0.18,0.062,0.025,0.012,0.034,0.032,0.028,0.035,0.038,0.018,0.032,0.055,0.233,3.78,0
2023-11-15 10:39:59,8.12,3.44,0.17,0.065,0.037,0.023,0.012,0.012,0.032,0.026,0.016,0.021,0.035,0.061,0.134,3.17,0
2023-11-15 10:40:59,7.52,3.79,0.18,0.062,0.011,0.036,0.019,0.032,0.036,0.022,0.038,0.026,0.016,0.061,0.22,3.89,0
2023-11-15 10:41:59,7.58,3.6,0.17,0.055,0.01,0.012,0.022,0.01,0.034,0.025,0.034,0.025,0.034,0.057,0.121,3.62,0
2023-11-15 10:42:59,7.72,3.34,0.18,0.063,0.01,0.019,0.013,0.028,0.028,0.037,0.015,0.03,0.014,0.056,0.231,3.22,0
2023-11-15 10:43:59,8.03,3.04,0.16,0.054,0.035,0.015,0.024,0.025,0.018,0.024,0.021,0.037,0.032,0.059,0.142,3.84,0
2023-11-15 10:44:59,8.16,3.55,0.18,0.06,0.034,0.031,0.025,0.025,0.01,0.035,0.01,0.016,0.03,0.052,0.227,3.04,0
2023-11-15 10:45:59,8.46,3.94,0.17,0.054,0.018,0.03,0.026,0.013,0.025,0.027,0.026,0.015,0.034,0.063,0.209,4,0
2023-11-15 10:46:59,8.2,3.19,0.15,0.063,0.038,0.024,0.011,0.034,0.028,0.03,0.015,0.036,0.027,0.059,0.252,3.56,0
2023-11-15 10:47:59,8.2,3.97,0.15,0.059,0.012,0.025,0.014,0.029,0.028,0.012,0.024,0.026,0.032,0.063,0.253,3.5,0
2023-11-15 10:48:59,7.98,3.31,0.17,0.055,0.032,0.026,0.02,0.033,0.035,0.02,0.035,0.011,0.034,0.05,0.221,3.15,0
2023-11-15 10:49:59,7.99,3.26,0.18,0.053,0.027,0.035,0.015,0.027,0.018,0.019,0.034,0.014,0.021,0.053,0.248,3.44,0
2023-11-15 10:50:59,7.94,3.38,0.15,0.056,0.036,0.035,0.017,0.02,0.01,0.025,0.017,0.013,0.016,0.05,0.233,3.45,0
2023-11-15 10:51:59,7.67,3.96,0.17,0.062,0.023,0.011,0.026,0.034,0.036,0.032,0.024,0.012,0.012,0.051,0.168,3.32,0
2023-11-15 10:52:59,7.71,3.05,0.16,0.063,0.036,0.036,0.035,0.034,0.011,0.013,0.027,0.016,0.027,0.05,0.216,3.4,0
2023-11-15 10:53:59,7.85,3.76,0.15,0.052,0.03,0.015,0.018,0.013,0.036,0.02,0.033,0.029,0.016,0.055,0.124,3.95,0
2023-11-15 10:54:59,8.46,3.43,0.18,0.057,0.02,0.028,0.019,0.022,0.035,0.01,0.03,0.028,0.034,0.051,0.143,3.14,0
2023-11-15 10:55:59,8.01,3.62,0.18,0.061,0.014,0.037,0.024,0.014,0.021,0.018,0.018,0.015,0.033,0.061,0.201,3.81,0
2023-11-15 10:56:59,8.29,3.37,0.16,0.056,0.03,0.032,0.013,0.018,0.027,0.038,0.017,0.016,0.021,0.057,0.148,3.97,0
2023-11-15 10:57:59,7.56,3.98,0.16,0.063,0.029,0.037,0.019,0.01,0.017,0.037,0.037,0.028,0.031,0.062,0.173,3.6,0
2023-11-15 10:58:59,8.24,3.02,0.15,0.065,0.024,0.035,0.016,0.029,0.01,0.013,0.032,0.021,0.021,0.058,0.198,3.82,0
2023-11-15 10:59:59,7.58,3.07,0.17,0.063,0.015,0.028,0.017,0.011,0.032,0.037,0.023,0.029,0.013,0.056,0.221,3.97,0
2023-11-15 11:00:59,7.65,3.39,0.16,0.065,0.012,0.021,0.016,0.037,0.024,0.012,0.026,0.014,0.034,0.062,0.134,3.34,0
2023-11-15 11:01:59,8.35,3.14,0.15,0.06,0.026,0.032,0.015,0.021,0.015,0.013,0.033,0.014,0.03,0.051,0.254,3.24,0
2023-11-15 11:02:59,8.2,3.75,0.18,0.064,0.019,0.019,0.021,0.033,0.029,0.019,0.01,0.03,0.024,0.05,0.169,3.05,0
2023-11-15 11:03:59,7.61,3.8,0.18,0.065,0.034,0.023,0.037,0.021,0.019,0.032,0.026,0.027,0.028,0.059,0.254,3.91,0
2023-11-15 11:04:59,8.35,3.61,0.17,0.053,0.014,0.024,0.028,0.035,0.028,0.016,0.024,0.038,0.022,0.058,0.229,3.16,0
2023-11-15 11:05:59,7.59,3.48,0.15,0.062,0.034,0.036,0.037,0.016,0.016,0.035,0.035,0.035,0.033,0.05,0.137,3.57,0
2023-11-15 11:06:59,8.47,3.37,0.18,0.065,0.036,0.037,0.015,0.037,0.022,0.03,0.034,0.011,0.032,0.058,0.207,3.84,0
2023-11-15 11:07:59,7.66,3.23,0.18,0.059,0.027,0.038,0.036,0.017,0.036,0.014,0.013,0.022,0.01,0.064,0.214,3.69,0
2023-11-15 11:08:59,7.65,3.96,0.16,0.061,0.036,0.037,0.019,0.033,0.016,0.037,0.011,0.016,0.033,0.053,0.164,3.86,0
2023-11-15 11:09:59,7.96,3.31,0.16,0.056,0.03,0.034,0.026,0.036,0.034,0.021,0.019,0.015,0.013,0.06,0.179,3.27,0
2023-11-15 11:10:59,7.59,3.19,0.17,0.064,0.031,0.029,0.033,0.024,0.036,0.013,0.017,0.029,0.031,0.06,0.148,3.04,0
2023-11-15 11:11:59,8.42,3.8,0.15,0.062,0.025,0.034,0.013,0.028,0.011,0.036,0.021,0.015,0.025,0.061,0.214,3.22,0
2023-11-15 11:12:59,8.47,3.53,0.15,0.064,0.032,0.022,0.013,0.031,0.027,0.022,0.01,0.036,0.027,0.064,0.158,3.42,0
2023-11-15 11:13:59,8.42,3.71,0.18,0.056,0.017,0.034,0.034,0.012,0.013,0.037,0.018,0.026,0.015,0.057,0.225,3.17,0
2023-11-15 11:14:59,7.91,3.27,0.17,0.055,0.025,0.027,0.028,0.023,0.037,0.018,0.036,0.029,0.01,0.052,0.255,3.74,0
2023-11-15 11:15:59,8.02,3.2,0.18,0.064,0.021,0.013,0.013,0.018,0.017,0.036,0.022,0.031,0.017,0.058,0.178,3.18,0
2023-11-15 11:16:59,7.85,3.54,0.15,0.058,0.029,0.032,0.037,0.012,0.013,0.016,0.025,0.017,0.024,0.051,0.167,3.28,0
2023-11-15 11:17:59,7.99,3.75,0.15,0.054,0.024,0.017,0.017,0.015,0.03,0.028,0.016,0.032,0.015,0.054,0.269,3.73,0
2023-11-15 11:18:59,7.67,3.63,0.15,0.06,0.036,0.018,0.014,0.032,0.027,0.037,0.019,0.036,0.035,0.059,0.208,3.7,0
2023-11-15 11:19:59,7.52,3,0.17,0.061,0.032,0.033,0.022,0.019,0.014,0.032,0.028,0.018,0.016,0.06,0.213,3.91,0
2023-11-15 11:20:59,8.2,3.21,0.16,0.065,0.027,0.02,0.034,0.03,0.038,0.015,0.03,0.015,0.015,0.058,0.213,3.1,0
2023-11-15 11:21:59,8.3,3.64,0.18,0.062,0.037,0.03,0.027,0.033,0.015,0.016,0.037,0.018,0.025,0.051,0.229,3.57,0
2023-11-15 11:22:59,8.21,3.98,0.16,0.051,0.032,0.011,0.021,0.016,0.035,0.029,0.031,0.023,0.029,0.051,0.178,3.62,0
2023-11-15 11:23:59,7.5,3.81,0.17,0.052,0.014,0.036,0.031,0.019,0.025,0.012,0.035,0.033,0.026,0.065,0.183,3.24,0
2023-11-15 11:24:59,7.51,3.53,0.15,0.054,0.016,0.022,0.016,0.023,0.025,0.012,0.036,0.015,0.011,0.058,0.132,3.65,0
2023-11-15 11:25:59,7.68,3.86,0.18,0.064,0.037,0.035,0.012,0.021,0.017,0.026,0.035,0.011,0.022,0.064,0.157,3.8,0
2023-11-15 11:26:59,7.93,3.67,0.16,0.052,0.015,0.028,0.024,0.028,0.034,0.034,0.01,0.029,0.013,0.063,0.238,3.73,0
2023-11-15 11:27:59,7.94,3.25,0.18,0.051,0.016,0.033,0.025,0.028,0.038,0.033,0.014,0.024,0.023,0.05,0.19,3.33,0
2023-11-15 11:28:59,8,3.99,0.16,0.06,0.034,0.03,0.033,0.013,0.027,0.027,0.024,0.034,0.034,0.054,0.149,3.79,0
2023-11-15 11:29:59,7.68,3.39,0.18,0.059,0.022,0.016,0.028,0.022,0.036,0.03,0.01,0.017,0.029,0.06,0.204,3.97,0
2023-11-15 11:30:59,8.35,3.42,0.16,0.06,0.027,0.035,0.024,0.036,0.025,0.011,0.029,0.036,0.036,0.052,0.196,3.95,0
2023-11-15 11:31:59,8.33,3.65,0.16,0.062,0.031,0.036,0.036,0.031,0.025,0.02,0.025,0.03,0.037,0.059,0.124,3.65,0
2023-11-15 11:32:59,8.24,3.93,0.18,0.059,0.018,0.03,0.011,0.02,0.016,0.027,0.018,0.028,0.03,0.063,0.194,3.63,0
2023-11-15 11:33:59,7.77,3.6,0.16,0.055,0.03,0.02,0.034,0.033,0.016,0.036,0.036,0.029,0.011,0.052,0.195,3.33,0
2023-11-15 11:34:59,8.49,3.63,0.17,0.062,0.029,0.027,0.018,0.037,0.033,0.028,0.017,0.029,0.027,0.052,0.231,3.7,0
2023-11-15 11:35:59,8.05,3.48,0.15,0.053,0.015,0.023,0.03,0.017,0.028,0.038,0.019,0.017,0.029,0.055,0.262,3.78,0
2023-11-15 11:36:59,7.77,3.9,0.17,0.06,0.023,0.023,0.034,0.022,0.026,0.031,0.025,0.03,0.023,0.065,0.158,3.2,0
2023-11-15 11:37:59,7.62,3.5,0.18,0.065,0.011,0.03,0.013,0.016,0.015,0.022,0.01,0.026,0.03,0.058,0.212,3.96,0
2023-11-15 11:38:59,7.75,3.9,0.15,0.062,0.015,0.018,0.018,0.037,0.029,0.025,0.027,0.029,0.023,0.063,0.186,3.84,0
2023-11-15 11:39:59,7.57,3.78,0.16,0.054,0.022,0.016,0.024,0.027,0.027,0.028,0.013,0.016,0.025,0.061,0.181,3.09,0
2023-11-15 11:40:59,7.55,3.25,0.16,0.051,0.018,0.032,0.016,0.017,0.013,0.01,0.022,0.015,0.03,0.052,0.136,3.44,0
2023-11-15 11:41:59,7.63,3.77,0.17,0.052,0.012,0.023,0.012,0.02,0.017,0.028,0.027,0.036,0.032,0.056,0.128,3.39,0
2023-11-15 11:42:59,7.83,3.49,0.17,0.062,0.031,0.016,0.023,0.01,0.02,0.033,0.035,0.023,0.037,0.058,0.235,3.75,0
2023-11-15 11:43:59,8.31,3.36,0.15,0.057,0.019,0.021,0.038,0.01,0.033,0.013,0.034,0.015,0.015,0.064,0.143,3.54,0
2023-11-15 11:44:59,8.16,3.59,0.16,0.061,0.029,0.035,0.028,0.022,0.036,0.035,0.033,0.018,0.03,0.064,0.125,3.84,0
2023-11-15 11:45:59,7.91,3.42,0.18,0.06,0.026,0.015,0.013,0.028,0.038,0.034,0.028,0.036,0.017,0.065,0.184,3.17,0
2023-11-15 11:46:59,7.71,3.71,0.17,0.057,0.018,0.014,0.031,0.037,0.014,0.035,0.021,0.028,0.035,0.061,0.263,3.52,0
